INFO - 2024-07-23 18:33:49 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:33:49 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:33:49 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:33:49 - Received SUBACK
INFO - 2024-07-23 18:33:49 - Received SUBACK
INFO - 2024-07-23 18:33:58 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:33:58 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:33:58 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:33:58 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:33:58 - Received SUBACK
INFO - 2024-07-23 18:33:58 - Received SUBACK
INFO - 2024-07-23 18:34:00 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:34:00 - Caught exception in on_message: sequence item 1: expected str instance, int found
INFO - 2024-07-23 18:34:34 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:34:34 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:34:34 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:34:34 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:34:34 - Received SUBACK
